qsssmfqirrnpinrr 	qsssufpirrnpmnrr
fpntjsuqrnlkgmtl 	fpntrstqrnlkkmtl
rpsijitjupqkhmnt 	rpsiriujupqklmnt
kunjqsogjnkufinl 	kunjisngjnkujinl
nqlkthqgiusmltho 	nqlklhpgiusmhtho
uqpussstkmgknipn 	uqpuksrtkmgkripn
ggsqugusktfhjofn 	ggsqmgtsktfhfofn
sptjmuqpshihmltu 	sptjuuppshihiltu
hsfgftrtfmlqkslf 	hsfgntstfmlqgslf
tfprrfngnmnslnok 	tfprjfognmnshnok
iuntqnhgpsjggpgr 	iuntinigpsjgkpgr
opshgimsfsigsuir 	opshoilsfsigouir
lgftoqpotujllknh 	lgftgqqotujlhknh
rihhifrnpjtnfpoo 	rihhqfsnpjtnjpoo
pqhmkrqhulqmmnkl 	pqhmsrphulqminkl
pqslnhrtrhrifomu 	pqslfhstrhrijomu
jhphsoplfjjknjlm 	jhphkoqlfjjkrjlm
hjuinsjmrmpjgngp 	hjuifskmrmpjkngp
ifrgolqgsrormiqg 	ifrgglpgsroriiqg
qgmqggrrmigfqosm 	qgmqogsrmigfuosm
nmqtmtljomhmjfmm 	nmqtutmjomhmffmm
ilrhfotjsuihnuni 	ilrhnoujsuihruni
stluuoqqlqipknft 	stlumopqlqipgnft
ruhlphlfiigpriqj 	ruhlhhmfiigpniqj
jmtqjnhtjillurrg 	jmtqrnitjillqrrg
sksorhimppqoitlr 	sksojhhmppqomtlr
nnlmtsoltrumnumf 	nnlmlsnltrumrumf
pmstoisqktqqqipr 	pmstgirqktqquipr
nugpoqkksjulppis 	nugpgqjksjultpis
rjknfktolnpnlsqu 	rjknnkuolnpnhsqu
kgirnsmfjftkpntk 	kgirfslfjftktntk
kqmirumhofjggsip 	kqmijulhofjgksip
lfrrkgohthknhhoh 	lfrrsgnhthknlhoh
rjrjookqonojonrn 	rjrjgojqonojsnrn
ngjqnngilttipmgi 	ngjqfnfilttitmgi
qtilusllotiifkgi 	qtilmsmlotiijkgi
nhqpiprqlhmmrsff 	nhqpqpsqlhmmnsff
hluiqlfptqnjmqlr 	hluiilgptqnjiqlr
rffiijijlqlhgqim 	rffiqjhjlqlhkqim
jgrflihonnmjrunh 	jgrftiionnmjnunh
hhtulikmrmitqohu 	hhtutijmrmituohu
jporhlqqtisoshmp 	jporplpqtisoohmp
qtprffhigfuljkjr 	qtprnfiigfulfkjr
quuhkgpkmknjhshg 	quuhsgqkmknjlshg
tsfmrtgnokpglkui 	tsfmjtfnokpghkui
jrqqfjtffommfnnt 	jrqqnjuffommjnnt
tgqqnjftmnmtfujs 	tgqqfjgtmnmtjujs
prfrntujslshkrmq 	prfrfttjslshgrmq
tqopmutlofioinjn 	tqopuuulofiomnjn
lsfnkqqgkstnifnl 	lsfnsqpgkstnmfnl
tfqpoikpjnlhjmlg 	tfqpgijpjnlhfmlg
sgpsflkjlhuruqkr 	sgpsnljjlhurqqkr
pltistjgnrrgmimj 	pltiktkgnrrgiimj
kjrflfjgogmlosrm 	kjrftfkgogmlssrm
ikngutrptirkuiqj 	ikngmtsptirkqiqj
ujrljforjgtpjjkf 	ujrlrfnrjgtpfjkf
sipqtpktmpjmfngk 	sipqlpjtmpjmjngk
lrquqnnjsglhsqmg 	lrquinojsglhoqmg
